ID,Married,Gender,Age,Graduate,Profession,Years_of_Working ,Spending_Score,Family_Members,Category,Class(Target)
3890,1,1,26,0,Healthcare,8,Low,8,Cat_4,A
3891,0,1,25,1,Artist,9,Low,1,Cat_6,B
3892,0,1,25,1,Healthcare,1,Low,3,Cat_6,B
3893,0,1,23,0,Healthcare,1,Low,3,Cat_6,A
3894,1,0,28,0,Artist,1,Average,2,Cat_3,C
3895,0,1,28,1,Artist,nan,Low,1,Cat_6,A
3896,0,0,45,1,Engineer,2,Low,1,Cat_4,C
3897,1,0,53,1,Artist,1,Average,3,Cat_6,B
3898,1,0,42,1,Doctor,1,Average,5,Cat_4,D
3899,1,1,28,1,Doctor,1,Low,1,Cat_6,C
3900,1,1,18,0,Healthcare,1,Low,4,Cat_3,A
3901,1,1,18,0,Entertainment,1,Low,4,Cat_6,A
3902,1,1,36,1,Artist,9,Low,3,Cat_6,C
3903,0,0,72,0,Engineer,1,Average,3,Cat_4,C
3904,1,0,61,0,Marketing,1,Average,4,Cat_4,A
3905,1,0,56,1,Artist,0,Average,4,Cat_6,D
3906,0,1,46,1,Artist,1,Low,1,Cat_6,A
3907,1,1,30,1,Entertainment,14,Low,1,Cat_6,A
3908,0,1,51,0,Entertainment,0,Low,1,Cat_4,D
3909,0,1,41,1,Artist,10,Low,1,Cat_6,D
3910,0,0,65,1,Lawyer,1,High,2,Cat_6,B
3911,0,0,46,0,Engineer,0,High,3,Cat_4,C
3912,0,0,38,1,Artist,9,Average,2,Cat_6,D
3913,0,1,29,1,Healthcare,0,Low,4,Cat_6,D
3914,0,0,53,0,Artist,8,Average,2,Cat_6,A
3915,0,1,50,1,Healthcare,nan,Low,1,Cat_6,A
3916,0,1,20,0,Healthcare,7,Low,4,Cat_6,C
3917,1,1,28,1,Doctor,1,Low,4,Cat_4,C
3918,1,0,35,1,Executive,0,High,3,Cat_6,C
3919,1,1,31,0,Healthcare,1,Low,4,Cat_6,D
3920,1,0,82,0,Lawyer,1,Low,1,Cat_6,C
3921,0,1,33,1,Healthcare,0,Low,4,Cat_2,B
3922,1,1,33,1,Healthcare,nan,Low,4,Cat_6,D
3923,0,1,32,1,Healthcare,8,Low,3,Cat_6,A
3924,0,0,25,1,Artist,3,High,2,Cat_6,A
3925,1,0,60,1,Executive,1,High,6,Cat_2,B
3926,1,1,43,1,Marketing,0,Low,2,Cat_6,C
3927,1,0,45,1,Artist,4,Average,2,Cat_6,D
3928,1,0,41,0,Executive,1,Average,5,Cat_4,B
3929,0,0,36,1,Artist,0,Low,4,Cat_6,D
3930,0,0,79,1,Lawyer,1,Low,1,Cat_6,A
3931,0,0,27,0,Artist,nan,Low,2,Cat_6,C
3932,1,nan,22,0,Healthcare,9,Low,3,Cat_4,A
3933,0,1,25,1,Healthcare,4,Low,3,Cat_6,C
3934,1,0,37,1,Healthcare,1,Average,2,Cat_4,C
3935,0,0,56,1,Artist,4,Average,2,Cat_6,D
3936,1,0,77,0,Lawyer,1,High,2,Cat_6,C
3937,1,1,42,1,Artist,9,Low,1,Cat_6,C
3938,0,1,33,0,Marketing,0,Low,4,Cat_3,A
3939,0,1,33,0,Homemaker,8,Low,1,Cat_6,A
3940,0,1,43,1,Artist,1,Low,1,Cat_3,B
3941,0,1,49,1,Artist,1,Low,3,Cat_6,A
3942,1,0,37,1,Healthcare,8,Average,4,Cat_6,C
3943,0,0,48,1,Artist,0,Low,4,Cat_6,D
3944,1,0,48,0,nan,0,Average,4,Cat_4,A
3945,0,0,37,0,Engineer,3,High,2,Cat_6,A
3946,1,0,46,1,Entertainment,nan,Average,4,Cat_6,D
3947,1,1,25,0,Marketing,nan,Low,1,Cat_6,D
3948,1,1,43,1,Healthcare,1,Low,7,Cat_6,A
3949,0,0,58,1,Artist,6,Low,1,Cat_6,D
3950,0,1,22,0,Healthcare,0,Low,5,Cat_4,D
3951,0,1,21,0,Healthcare,0,Low,4,Cat_4,A
3952,1,0,66,0,Executive,1,Low,2,Cat_6,A
3953,0,0,41,1,Artist,1,Low,2,Cat_6,C
3954,1,0,45,0,Artist,1,Average,3,Cat_6,C
3955,1,0,38,1,Artist,1,Low,2,Cat_6,C
3956,0,0,63,1,Artist,0,High,4,Cat_6,D
3957,1,0,67,0,Artist,1,Average,2,Cat_6,B
3958,0,0,32,0,Entertainment,nan,Average,2,Cat_4,B
3959,0,1,41,1,Artist,0,Low,1,Cat_7,D
3960,1,nan,59,1,Entertainment,nan,Average,4,Cat_6,C
3961,0,1,39,1,Homemaker,10,Low,1,Cat_2,A
3962,0,0,45,0,Doctor,1,Low,1,Cat_6,B
3963,1,0,36,1,Artist,8,Low,4,Cat_4,A
3964,0,0,39,0,Engineer,nan,Average,3,Cat_6,A
3965,1,0,48,1,Doctor,1,Average,3,Cat_6,B
3966,0,1,26,0,Healthcare,1,Low,8,Cat_7,D
3967,0,1,25,0,Engineer,1,Low,3,Cat_6,A
3968,0,1,28,1,Entertainment,0,Low,4,Cat_6,C
3969,1,0,46,0,Artist,1,High,3,Cat_6,B
3970,0,1,52,1,Artist,0,Low,1,Cat_6,D
3971,1,1,38,1,Entertainment,0,Low,2,Cat_4,A
3972,1,1,22,0,Healthcare,nan,Low,nan,Cat_4,A
3973,1,1,87,0,Lawyer,1,Low,1,Cat_6,C
3974,0,1,21,0,Healthcare,nan,Low,5,Cat_6,A
3975,1,1,26,0,Artist,6,Low,6,Cat_5,A
3976,1,1,26,0,Entertainment,1,Low,3,Cat_6,C
3977,0,0,51,1,Artist,1,High,5,Cat_6,D
3978,1,0,79,0,Lawyer,1,Low,1,Cat_6,A
3979,0,0,32,0,Homemaker,9,Average,4,Cat_2,D
3980,0,0,38,1,Artist,4,High,3,Cat_2,C
3981,1,0,35,1,Entertainment,6,Low,5,Cat_3,A
3982,0,0,79,1,Lawyer,0,Low,1,Cat_6,D
3983,1,0,53,1,Artist,1,Average,3,Cat_6,D
3984,1,0,30,0,Entertainment,11,Low,2,Cat_5,A
3985,1,1,27,0,Entertainment,0,Low,3,Cat_2,A
3986,1,1,27,1,Entertainment,1,Low,5,Cat_4,A
3987,0,1,33,0,Healthcare,nan,Low,1,Cat_4,D
3988,0,0,32,1,Doctor,4,Low,2,Cat_6,A
3989,0,0,68,1,Lawyer,2,High,2,Cat_6,D
3990,1,0,51,1,Entertainment,0,Average,4,Cat_7,D
3991,0,0,69,1,Artist,1,High,4,Cat_6,D
3992,1,0,45,1,Artist,7,Low,2,Cat_2,C
3993,0,1,52,1,Artist,4,Low,1,Cat_6,B
3994,1,1,21,0,Healthcare,9,Low,6,Cat_6,C
3995,1,1,26,0,Healthcare,0,Low,7,Cat_6,C
3996,0,1,51,1,Artist,0,Low,1,Cat_6,C
3997,1,0,51,1,Doctor,0,High,5,Cat_4,D
3998,1,0,29,0,Doctor,0,Low,2,Cat_4,C
3999,0,0,59,1,Artist,0,Average,5,Cat_6,D
4000,1,0,57,1,Lawyer,6,Low,3,Cat_6,C
4001,0,1,32,1,Artist,7,Low,3,Cat_6,C
4002,1,1,29,0,Healthcare,1,Low,6,Cat_6,A
4003,1,0,40,1,Healthcare,6,High,2,Cat_6,C
4004,0,0,65,1,Lawyer,0,Low,1,Cat_6,C
4005,1,0,50,1,Artist,1,Average,3,Cat_6,A
4006,1,1,47,1,Artist,9,Low,2,Cat_6,B
4007,0,0,81,1,Lawyer,nan,High,2,Cat_6,C
4008,1,0,39,1,Doctor,0,Average,2,Cat_1,A
4009,1,0,72,1,Executive,1,High,2,Cat_6,D
4010,1,1,31,1,Healthcare,0,Low,2,Cat_4,D
4011,1,0,85,0,Lawyer,1,Low,1,Cat_6,A
4012,1,0,40,1,Artist,0,Low,3,Cat_1,C
4013,0,0,45,1,Artist,nan,Average,4,Cat_4,D
4014,0,0,78,1,Lawyer,6,Low,1,Cat_4,C
4015,1,0,43,1,Artist,0,Low,2,Cat_4,B
4016,0,0,89,1,Lawyer,2,Low,1,Cat_6,C
4017,1,0,37,1,Entertainment,1,Low,4,Cat_6,C
4018,0,1,25,0,Engineer,5,Low,3,Cat_4,B
4019,1,0,49,0,Artist,0,Low,2,Cat_7,C
4020,1,0,41,1,Artist,0,Low,2,Cat_6,C
4021,1,1,26,1,Doctor,11,Low,2,Cat_7,C
4022,0,0,36,0,Engineer,4,High,3,Cat_7,C
4023,0,0,38,1,Homemaker,8,Average,3,Cat_6,B
4024,1,1,25,0,Doctor,0,Low,3,Cat_3,B
4025,1,0,40,1,Artist,1,Average,3,Cat_2,C
4026,1,1,42,0,Entertainment,nan,Low,3,Cat_3,A
4027,1,1,30,0,Doctor,1,Low,4,Cat_3,A
4028,0,0,45,1,Artist,1,Average,2,Cat_6,D
4029,0,0,47,0,Engineer,0,High,2,Cat_4,C
4030,1,1,28,1,Healthcare,2,Low,3,Cat_6,A
4031,1,1,35,1,Artist,9,Low,3,Cat_6,C
4032,0,0,45,0,Engineer,0,Average,3,Cat_6,C
4033,1,0,61,1,Artist,2,Average,2,Cat_6,D
4034,0,1,22,0,Healthcare,6,Low,3,Cat_3,A
4035,1,1,28,1,Doctor,1,Low,3,Cat_6,A
4036,1,0,56,1,Doctor,0,Low,1,Cat_6,C
4037,0,1,27,1,Artist,1,Low,5,Cat_6,D
4038,1,0,69,0,Entertainment,nan,Low,1,Cat_6,B
4039,0,0,43,0,Engineer,nan,Average,2,Cat_4,A
4040,1,0,71,0,Executive,5,Low,3,Cat_4,B
4041,0,1,19,0,Healthcare,0,Low,nan,Cat_6,A
4042,0,1,22,0,Marketing,0,Low,4,Cat_6,A
4043,0,0,63,1,Artist,1,High,3,Cat_6,D
4044,1,0,27,0,Doctor,nan,High,2,Cat_3,D
4045,1,1,19,0,Healthcare,nan,Low,5,Cat_4,A
4046,0,0,49,1,Artist,0,Average,3,Cat_6,D
4047,1,0,67,1,Doctor,1,Average,3,Cat_6,D
4048,0,0,27,1,Healthcare,9,High,2,Cat_6,A
4049,1,1,25,0,Entertainment,13,Low,3,Cat_6,C
4050,1,1,35,1,Doctor,8,Low,1,Cat_6,C
4051,0,1,27,1,Healthcare,2,Low,4,Cat_1,C
4052,0,0,40,1,Artist,nan,Low,2,Cat_6,A
4053,1,0,47,1,Artist,nan,Average,2,Cat_6,B
4054,0,0,52,0,Artist,nan,Average,4,Cat_4,C
4055,1,0,45,0,Executive,1,High,4,Cat_6,B
4056,1,0,50,1,Entertainment,1,Average,3,Cat_6,D
4057,0,1,32,1,Marketing,1,Low,6,Cat_6,B
4058,1,0,48,1,Artist,0,Average,3,Cat_6,C
4059,1,0,45,1,Executive,8,High,4,Cat_6,D
4060,0,nan,19,0,Healthcare,8,Low,nan,Cat_3,A
4061,1,1,21,0,Healthcare,1,Low,6,Cat_5,A
4062,0,0,51,0,Engineer,1,Average,5,Cat_4,B
4063,0,1,27,0,Healthcare,5,Low,3,Cat_2,A
4064,1,1,23,0,Healthcare,0,Low,6,Cat_3,A
4065,0,1,37,1,nan,0,Low,2,Cat_6,C
4066,0,0,46,0,Lawyer,0,Low,1,Cat_6,C
4067,1,0,58,1,Executive,1,Average,5,Cat_6,C
4068,0,0,41,0,Engineer,1,Low,2,Cat_4,D
4069,0,0,61,1,Artist,0,Low,1,Cat_6,D
4070,1,1,38,1,Healthcare,8,Low,1,Cat_6,C
4071,1,0,39,1,Executive,8,High,6,Cat_7,C
4072,0,0,50,1,Artist,0,Average,2,Cat_6,D
4073,1,1,26,0,Homemaker,14,Low,3,Cat_3,A
4074,1,0,40,1,Artist,0,Average,2,Cat_2,D
4075,1,0,35,0,Doctor,0,Low,1,Cat_4,C
4076,1,1,21,0,Healthcare,1,Low,4,Cat_6,A
4077,0,0,47,1,Artist,7,Average,2,Cat_6,D
4078,1,0,51,1,Engineer,2,Average,2,Cat_6,D
4079,0,1,22,0,Healthcare,0,Low,4,Cat_6,A
4080,1,0,53,1,Artist,1,Average,3,Cat_6,D
4081,0,1,41,1,Artist,0,Low,4,Cat_2,B
4082,0,nan,37,0,Engineer,2,Average,3,Cat_4,A
4083,0,1,39,1,Doctor,4,Low,1,Cat_6,C
4084,0,1,46,1,Entertainment,0,Low,1,Cat_6,D
4085,0,1,32,0,Doctor,1,Low,3,Cat_4,A
4086,0,0,49,1,Artist,1,Average,4,Cat_6,D
4087,1,0,27,0,Entertainment,0,Average,4,Cat_6,C
4088,1,1,36,1,Artist,11,Low,2,Cat_6,D
4089,1,0,89,0,Lawyer,0,Low,1,Cat_6,C
4090,0,0,51,1,Artist,8,Low,2,Cat_6,D
4091,1,0,29,1,Healthcare,0,Low,2,Cat_6,A
4092,0,1,30,1,Healthcare,0,Low,4,Cat_4,D
4093,1,0,56,1,Lawyer,0,Low,4,Cat_6,B
4094,0,0,62,1,Homemaker,1,Low,1,Cat_2,B
4095,1,1,50,1,Artist,1,Low,1,Cat_2,B
4096,0,1,19,0,Healthcare,1,Low,5,Cat_2,A
4097,1,1,29,0,Doctor,8,Low,4,Cat_6,B
4098,0,0,43,1,Engineer,0,Average,2,Cat_6,B
4099,1,1,20,0,Healthcare,0,Low,3,Cat_4,A
4100,0,0,41,1,Artist,3,Low,2,Cat_6,C
4101,0,0,71,1,Lawyer,1,High,2,Cat_6,D
4102,0,1,20,0,Healthcare,1,Low,3,Cat_7,A
4103,1,0,56,1,Artist,4,Low,3,Cat_3,B
4104,1,0,38,0,Entertainment,0,Low,2,Cat_6,B
4105,0,1,22,0,Doctor,3,Low,2,Cat_4,B
4106,1,1,22,0,Healthcare,9,Low,4,Cat_6,A
4107,0,1,18,0,Healthcare,0,Low,5,Cat_6,A
4108,1,1,29,1,Healthcare,1,Low,1,Cat_2,A
4109,0,0,45,1,Artist,8,High,3,Cat_6,B
4110,0,0,45,1,Homemaker,2,Average,2,Cat_3,C
4111,0,1,23,0,Engineer,1,Low,4,Cat_6,B
4112,1,0,41,1,Artist,1,Average,3,Cat_6,B
4113,1,0,45,1,Engineer,5,Average,5,Cat_6,B
4114,1,0,41,1,Artist,1,Average,7,Cat_6,C
4115,0,0,52,1,Doctor,1,Average,3,Cat_6,B
4116,1,0,43,1,Artist,7,Low,1,Cat_7,C
4117,0,0,59,1,Artist,0,Average,5,Cat_6,D
4118,1,1,33,1,Entertainment,1,Low,8,Cat_4,D
4119,0,0,55,1,Artist,1,Average,3,Cat_6,B
4120,1,1,30,1,Healthcare,0,Low,2,Cat_6,C
4121,0,1,30,1,Healthcare,2,Low,5,Cat_6,A
4122,0,0,40,1,Entertainment,nan,Low,2,Cat_6,B
4123,1,1,27,0,Healthcare,1,Low,3,Cat_3,C
4124,0,0,75,1,Lawyer,0,Low,1,Cat_6,B
4125,1,1,20,0,Marketing,1,Low,3,Cat_6,C
4126,1,1,20,0,Healthcare,5,Low,5,Cat_2,A
4127,1,1,22,0,Healthcare,0,Low,9,Cat_6,A
4128,1,0,56,nan,Entertainment,4,Average,4,Cat_3,D
4129,0,0,70,1,Artist,1,Average,4,Cat_6,D
4130,1,1,25,0,Healthcare,0,Low,3,Cat_6,A
4131,1,0,59,0,nan,5,High,2,Cat_6,B
4132,0,0,41,0,Entertainment,9,High,2,Cat_4,C
4133,1,1,71,0,Lawyer,nan,Low,2,Cat_6,A
4134,0,1,30,0,Artist,0,Low,nan,Cat_6,D
4135,0,1,25,1,Entertainment,9,Low,2,Cat_6,C
4136,1,0,41,1,Doctor,0,Low,2,Cat_6,B
4137,1,0,27,1,Entertainment,0,Low,4,Cat_7,A
4138,1,1,28,0,Healthcare,1,Low,8,Cat_4,D
4139,1,0,51,1,Executive,1,High,4,Cat_6,D
4140,0,0,75,1,Homemaker,1,High,nan,Cat_6,B
4141,0,1,18,0,Healthcare,nan,Low,3,Cat_3,A
4142,1,0,69,1,Executive,0,Low,nan,Cat_6,C
4143,1,1,27,1,Artist,9,Low,2,Cat_3,A
4144,1,0,46,1,Entertainment,1,Low,2,Cat_3,D
4145,1,1,38,1,Executive,1,Low,3,Cat_6,C
4146,1,0,40,1,Executive,1,High,4,Cat_6,C
4147,1,0,50,1,Doctor,nan,Average,4,Cat_3,D
4148,0,1,31,0,Doctor,0,Low,3,Cat_6,D
4149,1,0,59,1,Executive,3,High,4,Cat_6,B
4150,0,0,37,1,Artist,1,Low,2,Cat_6,D
4151,1,0,42,0,Marketing,0,High,6,Cat_4,C
4152,1,0,88,0,Lawyer,1,Low,1,Cat_6,C
4153,0,1,30,1,Healthcare,0,Low,2,Cat_6,D
4154,1,0,72,1,Lawyer,1,Low,1,Cat_6,A
4155,0,1,31,0,Healthcare,0,Low,5,Cat_2,A
4156,0,0,60,1,Lawyer,6,High,9,Cat_6,B
4157,1,0,55,1,Executive,8,High,2,Cat_6,D
4158,1,1,28,0,Executive,2,Low,2,Cat_3,D
4159,1,0,28,1,Artist,nan,Low,2,Cat_6,B
4160,0,1,32,1,Doctor,0,Low,3,Cat_6,D
4161,0,0,52,1,Artist,2,Average,5,Cat_6,D
4162,0,0,51,1,Marketing,9,Average,1,Cat_3,C
4163,1,0,62,0,nan,7,High,2,Cat_6,A
4164,0,0,63,0,Artist,0,Average,5,Cat_6,D
4165,0,0,79,0,Lawyer,nan,High,2,Cat_6,D
4166,1,0,30,1,Entertainment,nan,Average,3,Cat_4,A
4167,1,1,28,1,Entertainment,1,Low,3,Cat_6,C
4168,0,0,74,0,Lawyer,nan,High,2,Cat_6,A
4169,1,1,27,0,Healthcare,1,Low,3,Cat_2,C
4170,1,1,18,0,Doctor,1,Low,2,Cat_6,A
4171,1,0,27,1,Entertainment,10,Low,2,Cat_6,B
4172,1,0,69,1,Artist,nan,Average,2,Cat_6,D
4173,0,1,26,0,Healthcare,1,Low,4,Cat_6,C
4174,1,0,59,1,Artist,1,Low,nan,Cat_6,C
4175,0,0,67,1,Artist,1,Average,3,Cat_2,D
4176,1,0,28,nan,Artist,6,Low,1,Cat_6,C
4177,1,0,38,1,Artist,4,Average,3,Cat_6,D
4178,1,1,22,0,Healthcare,9,Low,6,Cat_2,A
4179,1,0,79,0,Entertainment,0,Low,1,Cat_6,B
4180,1,0,43,0,Artist,1,Average,3,Cat_3,B
4181,1,0,36,0,Artist,0,Average,2,Cat_5,A
4182,1,1,18,0,Healthcare,0,Low,6,Cat_6,A
4183,1,0,60,1,Artist,0,Low,3,Cat_6,D
4184,1,0,27,1,Healthcare,1,High,2,Cat_6,A
4185,1,0,45,1,Artist,nan,Average,3,Cat_3,B
4186,0,1,43,1,Artist,1,Low,4,Cat_6,C
4187,1,1,28,1,Healthcare,nan,Low,6,Cat_4,B
4188,0,0,43,1,Healthcare,9,Low,2,Cat_6,D
4189,1,0,47,0,Entertainment,0,Average,4,Cat_6,D
4190,0,1,31,1,Healthcare,nan,Low,1,Cat_7,C
4191,1,0,35,1,Artist,3,Average,3,Cat_6,B
4192,1,0,68,0,Executive,1,High,2,Cat_6,C
4193,1,1,31,1,Entertainment,6,Low,1,Cat_6,C
4194,1,0,35,1,Marketing,nan,Low,5,Cat_6,A
4195,1,0,37,1,Artist,0,High,3,Cat_6,D
4196,1,1,18,0,Healthcare,5,Low,4,Cat_6,B
4197,1,1,21,0,Healthcare,13,Low,6,Cat_6,A
4198,1,0,25,nan,Artist,6,Low,1,Cat_6,C
4199,1,0,43,1,Artist,nan,Average,3,Cat_6,B
4200,1,0,65,1,Homemaker,0,High,2,Cat_6,C
4201,1,1,30,1,Artist,8,Low,nan,Cat_5,D
4202,1,1,37,1,Entertainment,0,Low,1,Cat_4,D
4203,1,0,29,0,Executive,12,Low,3,Cat_6,B
4204,0,0,33,1,Homemaker,nan,High,2,Cat_6,A
4205,1,1,29,1,Artist,nan,Low,nan,Cat_2,C
4206,1,0,45,1,Executive,1,High,3,Cat_6,D
4207,1,1,36,1,Entertainment,0,Low,1,Cat_4,B
4208,1,1,28,1,Artist,6,Low,3,Cat_6,C
4209,1,0,81,0,Executive,9,High,2,Cat_6,D
4210,1,1,22,0,Healthcare,9,Low,5,Cat_6,A
4211,1,0,71,0,Lawyer,1,High,2,Cat_6,B
4212,0,nan,25,0,Healthcare,0,Low,4,Cat_6,A
4213,1,0,45,1,Executive,0,High,4,Cat_6,C
4214,0,1,55,1,Artist,0,Low,nan,Cat_3,B
4215,0,1,21,0,Entertainment,1,Low,4,Cat_6,A
4216,0,0,83,1,Artist,nan,High,2,Cat_6,C
4217,1,1,25,1,Entertainment,9,Low,1,Cat_2,C
4218,1,0,25,0,Engineer,4,Average,3,Cat_4,A
4219,1,0,41,1,Artist,4,Low,4,Cat_6,C
4220,1,0,68,1,Marketing,0,Low,2,Cat_7,B
4221,0,0,84,1,Lawyer,3,High,2,Cat_6,C
4222,1,0,38,0,Executive,nan,High,5,Cat_4,A
4223,1,0,43,0,Executive,1,High,5,Cat_4,B
4224,1,0,46,1,Artist,1,Low,2,Cat_6,B
4225,1,0,59,1,Doctor,0,Average,2,Cat_4,D
4226,0,0,71,1,Artist,1,High,2,Cat_6,D
4227,0,nan,45,1,Entertainment,5,Low,3,Cat_6,A
4228,1,0,45,1,Artist,0,Average,2,Cat_6,D
4229,0,1,40,1,Artist,8,Low,2,Cat_6,C
4230,0,0,49,1,Engineer,nan,Low,1,Cat_4,B
4231,0,0,77,1,Lawyer,0,High,2,Cat_6,D
4232,0,1,41,1,Healthcare,nan,Low,1,Cat_6,C
4233,1,0,38,0,Executive,5,High,3,Cat_6,C
4234,1,1,22,0,Healthcare,0,Low,3,Cat_3,A
4235,1,1,18,0,Healthcare,11,Low,1,Cat_4,A
4236,1,0,38,1,Doctor,0,High,4,Cat_7,C
4237,1,0,77,1,Artist,1,High,2,Cat_6,C
4238,0,1,33,1,Artist,5,Low,2,Cat_4,B
4239,0,1,50,1,Artist,9,Low,1,Cat_6,C
4240,1,1,21,0,Healthcare,1,Low,3,Cat_6,A
4241,1,0,48,1,Artist,nan,Average,4,Cat_7,B
4242,1,1,53,1,Artist,0,Low,2,Cat_6,C
4243,0,1,50,0,Entertainment,8,Low,2,Cat_6,C
4244,1,1,20,0,Healthcare,8,Low,nan,Cat_3,A
4245,1,0,51,0,Entertainment,0,High,4,Cat_4,D
4246,1,0,38,1,Artist,4,Average,3,Cat_6,B
4247,1,0,42,1,Entertainment,3,Average,4,Cat_6,C
4248,1,0,31,0,Executive,nan,Average,3,Cat_4,C
4249,1,0,84,1,Artist,0,High,2,Cat_6,A
4250,1,0,73,1,Lawyer,1,Low,2,Cat_6,B
4251,1,1,25,1,Healthcare,8,Low,3,Cat_7,A
4252,1,0,70,0,Lawyer,1,Low,2,Cat_6,A
4253,1,0,43,0,Artist,3,Average,3,Cat_6,B
4254,1,0,36,1,Artist,0,Average,2,Cat_6,B
4255,1,0,65,1,Executive,1,High,2,Cat_6,C
4256,1,1,21,0,Healthcare,1,Low,2,Cat_2,A
4257,1,1,19,0,Healthcare,0,Low,3,Cat_6,A
4258,1,0,62,1,Artist,1,High,2,Cat_6,B
4259,1,0,53,1,Executive,0,Low,2,Cat_6,D
4260,1,0,38,1,Entertainment,0,Low,2,Cat_4,C
4261,1,1,37,1,Engineer,1,Low,3,Cat_6,A
4262,0,0,35,1,Artist,0,High,2,Cat_7,D
4263,0,1,25,0,Healthcare,1,Low,5,Cat_6,B
4264,0,1,43,1,Engineer,0,Low,4,Cat_6,A
4265,1,1,32,1,Healthcare,0,Low,6,Cat_7,A
4266,0,1,31,1,Healthcare,1,Low,4,Cat_2,B
4267,0,0,66,0,nan,1,Average,2,Cat_4,B
4268,1,1,26,1,Healthcare,1,Low,6,Cat_3,B
4269,1,1,32,0,Doctor,0,Low,1,Cat_6,C
4270,1,1,41,nan,Entertainment,6,Low,1,Cat_6,C
4271,1,0,40,1,Entertainment,9,Average,5,Cat_6,B
4272,0,1,43,1,Artist,0,Low,1,Cat_6,C
4273,1,1,31,0,Healthcare,1,Low,3,Cat_2,B
4274,1,1,30,1,Healthcare,1,Low,4,Cat_6,A
4275,0,0,36,1,Doctor,0,Average,3,Cat_3,B
4276,0,1,25,1,Healthcare,0,Low,1,Cat_6,A
4277,1,nan,38,1,Entertainment,nan,Average,4,Cat_3,D
4278,0,0,41,1,Doctor,9,Average,2,nan,A
4279,1,1,22,0,Healthcare,1,Low,3,Cat_6,A
4280,1,1,26,1,Healthcare,0,Low,3,Cat_6,A
4281,0,0,27,1,Entertainment,0,Average,2,Cat_6,C
4282,0,0,35,0,Engineer,0,Average,5,Cat_4,A
4283,0,1,40,1,Artist,0,Low,1,Cat_6,C
4284,1,1,23,0,Marketing,0,Low,3,Cat_6,C
4285,0,1,22,nan,Healthcare,3,Low,4,Cat_5,A
4286,0,1,29,0,Marketing,4,Low,3,Cat_6,B
4287,0,0,52,0,nan,7,Average,7,Cat_4,C
4288,1,1,22,0,Healthcare,1,Low,4,Cat_6,A
4289,0,0,55,1,Engineer,0,Average,nan,Cat_6,B
4290,0,0,82,1,Lawyer,nan,Low,1,Cat_6,C
4291,1,0,42,1,Artist,7,Average,2,Cat_6,D
4292,1,1,30,0,Doctor,1,Low,1,Cat_3,D
4293,0,1,28,0,Doctor,0,Low,4,Cat_6,D
4294,0,0,69,0,Lawyer,0,Average,2,Cat_6,D
4295,1,0,39,1,Artist,6,Average,2,Cat_6,D
4296,0,1,40,1,Healthcare,8,Low,1,Cat_7,A
4297,1,1,29,0,Healthcare,9,Low,4,Cat_3,A
4298,0,nan,28,1,Healthcare,0,Low,5,Cat_3,C
4299,1,0,61,0,Marketing,1,High,2,Cat_3,C
4300,1,0,36,1,Entertainment,4,Average,2,Cat_6,B
4301,0,1,29,1,Entertainment,9,Low,2,Cat_6,C
4302,0,0,86,0,Lawyer,0,High,2,Cat_6,C
4303,1,1,18,0,Healthcare,6,Low,7,Cat_6,A
4304,1,0,49,1,Artist,9,Average,2,Cat_6,D
4305,1,1,20,0,Healthcare,0,Low,8,Cat_4,A
4306,0,1,33,1,Marketing,0,Low,9,Cat_7,D
4307,1,0,55,1,Homemaker,1,Average,4,Cat_6,D
4308,0,1,47,1,Artist,0,Low,1,Cat_6,B
4309,0,0,39,1,Entertainment,nan,Average,2,Cat_2,B
4310,0,0,67,1,Engineer,1,Low,1,Cat_6,C
4311,1,0,53,1,Artist,3,High,3,Cat_7,A
4312,1,0,49,1,Artist,0,Low,3,Cat_6,B
4313,0,0,41,1,nan,1,Low,1,Cat_3,A
4314,1,1,26,0,Artist,11,Low,4,Cat_6,D
4315,0,0,49,1,Engineer,4,Average,nan,Cat_3,D
4316,0,1,28,0,Healthcare,3,Low,2,Cat_6,C
4317,0,0,52,1,Engineer,4,Low,1,Cat_3,B
4318,0,1,51,1,Artist,0,Low,1,Cat_6,D
4319,1,0,35,1,Artist,0,Average,2,Cat_6,D
4320,1,0,63,1,Entertainment,nan,Low,1,Cat_6,C
4321,1,0,50,1,Artist,6,Average,3,Cat_6,D
4322,0,1,38,1,Marketing,nan,Low,4,Cat_4,A
4323,1,1,27,0,Engineer,0,Low,5,Cat_6,A
4324,0,0,32,0,Engineer,9,Low,4,Cat_6,C
4325,0,0,40,1,Artist,0,Average,4,Cat_6,B
4326,0,1,43,1,Engineer,1,Low,2,Cat_6,B
4327,1,0,36,1,Entertainment,1,Average,4,Cat_3,D
4328,1,0,35,1,Artist,nan,Average,3,Cat_2,D
4329,1,0,53,1,Entertainment,1,Average,4,Cat_6,A
4330,1,1,41,1,Marketing,0,Low,2,Cat_6,A
4331,0,1,31,0,Doctor,6,Low,2,Cat_3,C
4332,0,0,37,0,Entertainment,1,Average,2,Cat_4,A
4333,1,0,43,1,Homemaker,nan,Average,2,Cat_4,C
4334,1,0,43,0,Entertainment,nan,Average,3,Cat_6,B
4335,0,0,62,1,Artist,1,Low,4,Cat_4,D
4336,0,1,39,0,Entertainment,nan,Low,6,Cat_3,A
4337,1,1,40,1,Doctor,9,Low,nan,Cat_6,D
